id	gene_symbol	complex
YOL139C	CDC33	eIF4F
YGR086C	PIL1	Eisosome
YPL004C	LSP1	Eisosome
YGR262C	BUD32	EKC/KEOPS protein complex
YJL184W	GON7	EKC/KEOPS protein complex
YKR038C	KAE1	EKC/KEOPS protein complex
YKR095W-A	PCC1	EKC/KEOPS protein complex
YML036W	CGI121	EKC/KEOPS protein complex
YNL230C	ELA1	Ela1p/Elc1p complex
YPL046C	ELC1	Ela1p/Elc1p complex
YGR200C	ELP2	Elongator complex
YHR187W	IKI1	Elongator complex
YLR384C	IKI3	Elongator complex
YMR312W	ELP6	Elongator complex
YPL086C	ELP3	Elongator complex
YPL101W	ELP4	Elongator complex
YHR060W	VMA22	ER V-ATPase assembly complex
YKL119C	VPH2	ER V-ATPase assembly complex
YAL042W	ERV46	Erv41p/Erv46p complex
YML067C	ERV41	Erv41p/Erv46p complex
YCL008C	STP22	ESCRT I complex
YGR206W	MVB12	ESCRT I complex
YLR119W	SRN2	ESCRT I complex
YPL065W	VPS28	ESCRT I complex
YJR102C	VPS25	ESCRT II complex
YLR417W	VPS36	ESCRT II complex
YPL002C	SNF8	ESCRT II complex
YKL002W	DID4	ESCRT III complex
YKL041W	VPS24	ESCRT III complex
YLR025W	SNF7	ESCRT III complex
YMR077C	VPS20	ESCRT III complex
YDR113C	PDS1	Esp1p/Pds1p complex
YGR098C	ESP1	Esp1p/Pds1p complex
YBR102C	EXO84	Exocyst complex
YDR166C	SEC5	Exocyst complex
YER008C	SEC3	Exocyst complex
YGL233W	SEC15	Exocyst complex
YIL068C	SEC6	Exocyst complex
YJL085W	EXO70	Exocyst complex
YLR166C	SEC10	Exocyst complex
YPR055W	SEC8	Exocyst complex
Q0080	ATP8	F0/F1 ATP synthase (complex V)
Q0085	ATP6	F0/F1 ATP synthase (complex V)
Q0130	OLI1	F0/F1 ATP synthase (complex V)
YBL099W	ATP1	F0/F1 ATP synthase (complex V)
YBR039W	ATP3	F0/F1 ATP synthase (complex V)
YDL004W	ATP16	F0/F1 ATP synthase (complex V)
YDL181W	INH1	F0/F1 ATP synthase (complex V)
YDR298C	ATP5	F0/F1 ATP synthase (complex V)
YDR322C-A	TIM11	F0/F1 ATP synthase (complex V)
YDR377W	ATP17	F0/F1 ATP synthase (complex V)
YJR121W	ATP2	F0/F1 ATP synthase (complex V)
YKL016C	ATP7	F0/F1 ATP synthase (complex V)
YLR295C	ATP14	F0/F1 ATP synthase (complex V)
YML081C-A	ATP18	F0/F1 ATP synthase (complex V)
YOL077W-A	ATP19	F0/F1 ATP synthase (complex V)
YPL078C	ATP4	F0/F1 ATP synthase (complex V)
YPL271W	ATP15	F0/F1 ATP synthase (complex V)
YPR020W	ATP20	F0/F1 ATP synthase (complex V)
YGL207W	SPT16	FACT complex
YML069W	POB3	FACT complex
YDR200C	VPS64	Far3p/Far7p/Far8p/Far9p/Far10p/Far11p complex
YFR008W	FAR7	Far3p/Far7p/Far8p/Far9p/Far10p/Far11p complex
YLR238W	FAR10	Far3p/Far7p/Far8p/Far9p/Far10p/Far11p complex
YMR029C	FAR8	Far3p/Far7p/Far8p/Far9p/Far10p/Far11p complex
YMR052W	FAR3	Far3p/Far7p/Far8p/Far9p/Far10p/Far11p complex
YNL127W	FAR11	Far3p/Far7p/Far8p/Far9p/Far10p/Far11p complex
YBR041W	FAT1	Fatty Acid Import Complex
YMR246W	FAA4	Fatty Acid Import Complex
YOR317W	FAA1	Fatty Acid Import Complex
YKL182W	FAS1	fatty acid synthase complex
YPL231W	FAS2	fatty acid synthase complex
YBR105C	VID24	FBP degradation complex
YCL039W	GID7	FBP degradation complex
YDL176W	YDL176W	FBP degradation complex
YDR255C	RMD5	FBP degradation complex
YGL227W	VID30	FBP degradation complex
YIL017C	VID28	FBP degradation complex
YIL097W	FYV10	FBP degradation complex
YMR135C	GID8	FBP degradation complex
YLR386W	VAC14	Fig4p/Vac14p complex
YNL325C	FIG4	Fig4p/Vac14p complex
YBR207W	FTH1	Fth1p/Fet5p complex
YFL041W	FET5	Fth1p/Fet5p complex
YER133W	GLC7	Gac1p/Glc7p complex
YOR178C	GAC1	Gac1p/Glc7p complex
YDR009W	GAL3	GAL3p/GAL80p complex
YML051W	GAL80	GAL3p/GAL80p complex
YML051W	GAL80	GAL4p/GAL80p complex
YPL248C	GAL4	GAL4p/GAL80p complex
YHR172W	SPC97	gamma-tubulin complex
YLR212C	TUB4	gamma-tubulin complex
YNL126W	SPC98	gamma-tubulin complex
YDR027C	VPS54	GARP complex
YDR484W	VPS52	GARP complex
YJL029C	VPS53	GARP complex
YKR020W	VPS51	GARP complex
YJL125C	GCD14	Gcd10p/Gcd14p complex
YNL062C	GCD10	Gcd10p/Gcd14p complex
YFR009W	GCN20	Gcn1p/Gcn20p complex
YGL195W	GCN1	Gcn1p/Gcn20p complex
YNL199C	GCR2	GCR complex
YPL075W	GCR1	GCR complex
YJL031C	BET4	Geranylgeranyltransferase II (GGTase II)
YPR176C	BET2	Geranylgeranyltransferase II (GGTase II)
YDL100C	GET3	GET complex
YER083C	GET2	GET complex
YGL020C	GET1	GET complex
YDR013W	PSF1	GINS complex
YDR489W	SLD5	GINS complex
YJL072C	PSF2	GINS complex
YOL146W	PSF3	GINS complex
YBR045C	GIP1	Gip1p/Glc7p complex
YER133W	GLC7	Gip1p/Glc7p complex
YAL044C	GCV3	glycine cleavage complex
YDR019C	GCV1	glycine cleavage complex
YFL018C	LPD1	glycine cleavage complex
YMR189W	GCV2	glycine cleavage complex
YDR437W	GPI19	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
YGR216C	GPI1	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
YNL038W	GPI15	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
YPL076W	GPI2	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
YPL096C-A	ERI1	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
YPL175W	SPT14	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
YER157W	COG3	Golgi transport complex
YGL005C	COG7	Golgi transport complex
YGL223C	COG1	Golgi transport complex
YGR120C	COG2	Golgi transport complex
YML071C	COG8	Golgi transport complex
YNL041C	COG6	Golgi transport complex
YNL051W	COG5	Golgi transport complex
YPR105C	COG4	Golgi transport complex
YDR331W	GPI8	GPI-anchor transamidase complex
YDR434W	GPI17	GPI-anchor transamidase complex
YHR188C	GPI16	GPI-anchor transamidase complex
YLR088W	GAA1	GPI-anchor transamidase complex
YLR459W	GAB1	GPI-anchor transamidase complex
YDL099W	BUG1	Grh1p/Bug1p complex
YDR517W	GRH1	Grh1p/Bug1p complex
YBR077C	SLM4	GSE Complex
YGR163W	GTR2	GSE Complex
YKL143W	LTV1	GSE Complex
YKR007W	MEH1	GSE Complex
YML121W	GTR1	GSE Complex
YBR281C	DUG2	GSH degradosomal complex
YFR044C	DUG1	GSH degradosomal complex
YNL191W	DUG3	GSH degradosomal complex
YDR137W	RGP1	guanyl-nucleotide exchange factor complex
YLR039C	RIC1	guanyl-nucleotide exchange factor complex
YMR192W	GYL1	Gyl1p/Gyp5p complex
YPL249C	GYP5	Gyl1p/Gyp5p complex
YBR127C	VMA2	"H+-transporting ATPase, Golgi"
YDL185W	TFP1	"H+-transporting ATPase, Golgi"
YEL027W	CUP5	"H+-transporting ATPase, Golgi"
YEL051W	VMA8	"H+-transporting ATPase, Golgi"
YGR020C	VMA7	"H+-transporting ATPase, Golgi"
YHR026W	PPA1	"H+-transporting ATPase, Golgi"
YHR039C-A	VMA10	"H+-transporting ATPase, Golgi"
YKL080W	VMA5	"H+-transporting ATPase, Golgi"
YLR447C	VMA6	"H+-transporting ATPase, Golgi"
YMR054W	STV1	"H+-transporting ATPase, Golgi"
YOR332W	VMA4	"H+-transporting ATPase, Golgi"
YPL234C	TFP3	"H+-transporting ATPase, Golgi"
YPR036W	VMA13	"H+-transporting ATPase, Golgi"
YBR127C	VMA2	"H+-transporting ATPase, vacuolar"
YDL185W	TFP1	"H+-transporting ATPase, vacuolar"
YEL027W	CUP5	"H+-transporting ATPase, vacuolar"
YEL051W	VMA8	"H+-transporting ATPase, vacuolar"
YGR020C	VMA7	"H+-transporting ATPase, vacuolar"
YHR026W	PPA1	"H+-transporting ATPase, vacuolar"
YHR039C-A	VMA10	"H+-transporting ATPase, vacuolar"
YKL080W	VMA5	"H+-transporting ATPase, vacuolar"
YLR447C	VMA6	"H+-transporting ATPase, vacuolar"
YOR270C	VPH1	"H+-transporting ATPase, vacuolar"
YOR332W	VMA4	"H+-transporting ATPase, vacuolar"
YPL234C	TFP3	"H+-transporting ATPase, vacuolar"
YPR036W	VMA13	"H+-transporting ATPase, vacuolar"
YEL056W	HAT2	HAT-B complex
YLL022C	HIF1	HAT-B complex
YPL001W	HAT1	HAT-B complex
YJR086W	STE18	heterodimeric G-protein complex
YOR212W	STE4	heterodimeric G-protein complex
YHR005C	GPA1	heterotrimeric G-protein complex
YJR086W	STE18	heterotrimeric G-protein complex
YOR212W	STE4	heterotrimeric G-protein complex
YBL008W	HIR1	HIR complex
YBR215W	HPC2	HIR complex
YJR140C	HIR3	HIR complex
YOR038C	HIR2	HIR complex
YDR295C	HDA2	histone deacetylase complex
YNL021W	HDA1	histone deacetylase complex
YPR179C	HDA3	histone deacetylase complex
YBL046W	PSY4	histone H2A phosphatase complex
YDR075W	PPH3	histone H2A phosphatase complex
YNL201C	PSY2	histone H2A phosphatase complex
YBL075C	SSA3	HMC Complex
YCL037C	SRO9	HMC Complex
YMR186W	HSC82	HMC Complex
YNL064C	YDJ1	HMC Complex
YBR098W	MMS4	Holliday junction resolvase complex
YDR386W	MUS81	Holliday junction resolvase complex
YGL033W	HOP2	Hop2p/Mnd1p complex
YGL183C	MND1	Hop2p/Mnd1p complex
YDL077C	VAM6	HOPS complex
YDR080W	VPS41	HOPS complex
YLR148W	PEP3	HOPS complex
YLR396C	VPS33	HOPS complex
YMR231W	PEP5	HOPS complex
YPL045W	VPS16	HOPS complex
YHL002W	HSE1	Hse1p/Vps27p complex
YNR006W	VPS27	Hse1p/Vps27p complex
YHR102W	KIC1	Hym1p/Kic1p/Sog2p complex
YKL189W	HYM1	Hym1p/Kic1p/Sog2p complex
YOR353C	SOG2	Hym1p/Kic1p/Sog2p complex
YCL044C	MGR1	i-AAA complex
YPR024W	YME1	i-AAA complex
YDR123C	INO2	Ino2p/Ino4p basic helix-loop-helix heteromeric complex
YOL108C	INO4	Ino2p/Ino4p basic helix-loop-helix heteromeric complex
YDL002C	NHP10	Ino80p complex
YDR190C	RVB1	Ino80p complex
YFL013C	IES1	Ino80p complex
YFL039C	ACT1	Ino80p complex
YGL150C	INO80	Ino80p complex
YJL081C	ARP4	Ino80p complex
YLR052W	IES3	Ino80p complex
YNL059C	ARP5	Ino80p complex
YOR141C	ARP8	Ino80p complex
YOR189W	IES4	Ino80p complex
YPL129W	TAF14	Ino80p complex
YPL235W	RVB2	Ino80p complex
YNL037C	IDH1	Isocitrate dehydrogenase
YOR136W	IDH2	Isocitrate dehydrogenase
YBR245C	ISW1	ISW1a complex
YFR013W	IOC3	ISW1a complex
YBR245C	ISW1	ISW1b complex
YLR095C	IOC2	ISW1b complex
YMR044W	IOC4	ISW1b complex
YBL079W	NUP170	karyopherin docking subcomplex of the Nuclear Pore Complex (NPC)
YDL088C	ASM4	karyopherin docking subcomplex of the Nuclear Pore Complex (NPC)
YMR153W	NUP53	karyopherin docking subcomplex of the Nuclear Pore Complex (NPC)
YGR238C	KEL2	Kel1p/Kel2p complex
YHR158C	KEL1	Kel1p/Kel2p complex
YAL024C	LTE1	Kel1p/Kel2p/Lte1p complex
YGR238C	KEL2	Kel1p/Kel2p/Lte1p complex
YHR158C	KEL1	Kel1p/Kel2p/Lte1p complex
YBL093C	ROX3	Kornberg's mediator (SRB) complex
YBR193C	MED8	Kornberg's mediator (SRB) complex
YBR253W	SRB6	Kornberg's mediator (SRB) complex
YCR081W	SRB8	Kornberg's mediator (SRB) complex
YDL005C	MED2	Kornberg's mediator (SRB) complex
YDR308C	SRB7	Kornberg's mediator (SRB) complex
YDR443C	SSN2	Kornberg's mediator (SRB) complex
YER022W	SRB4	Kornberg's mediator (SRB) complex
YGL025C	PGD1	Kornberg's mediator (SRB) complex
YGL127C	SOH1	Kornberg's mediator (SRB) complex
YGL151W	NUT1	Kornberg's mediator (SRB) complex
YGR104C	SRB5	Kornberg's mediator (SRB) complex
YHR041C	SRB2	Kornberg's mediator (SRB) complex
YHR058C	MED6	Kornberg's mediator (SRB) complex
YLR071C	RGR1	Kornberg's mediator (SRB) complex
YMR112C	MED11	Kornberg's mediator (SRB) complex
YNL025C	SSN8	Kornberg's mediator (SRB) complex
YNL236W	SIN4	Kornberg's mediator (SRB) complex
YNR010W	CSE2	Kornberg's mediator (SRB) complex
YOL051W	GAL11	Kornberg's mediator (SRB) complex
YOL135C	MED7	Kornberg's mediator (SRB) complex
YOR174W	MED4	Kornberg's mediator (SRB) complex
YPL042C	SSN3	Kornberg's mediator (SRB) complex
YPR070W	MED1	Kornberg's mediator (SRB) complex
YPR168W	NUT2	Kornberg's mediator (SRB) complex
YMR106C	YKU80	Ku complex
YMR284W	YKU70	Ku complex
YDL074C	BRE1	Lge1p/Bre1p complex
YPL055C	LGE1	Lge1p/Bre1p complex
YLR043C	TRX1	LMA1 complex
YNL015W	PBI2	LMA1 complex
YDR057W	YOS9	luminal surveillance complex
YJL034W	KAR2	luminal surveillance complex
YLR207W	HRD3	luminal surveillance complex
YER017C	AFG3	m-AAA complex
YMR089C	YTA12	m-AAA complex
YGL086W	MAD1	Mad1p/Mad2p complex
YJL030W	MAD2	Mad1p/Mad2p complex
YDL056W	MBP1	MBF complex
YLR182W	SWI6	MBF complex
YBL023C	MCM2	Mcm2-7 complex
YBR202W	MCM7	Mcm2-7 complex
YEL032W	MCM3	Mcm2-7 complex
YGL201C	MCM6	Mcm2-7 complex
YLR274W	MCM5	Mcm2-7 complex
YPR019W	MCM4	Mcm2-7 complex
YAL010C	MDM10	Mdm12p/Mmm1p/Mdm10p complex
YLL006W	MMM1	Mdm12p/Mmm1p/Mdm10p complex
YOL009C	MDM12	Mdm12p/Mmm1p/Mdm10p complex
YHR079C-A	SAE3	Mei5p/Sae3p complex
YPL121C	MEI5	Mei5p/Sae3p complex
YHL022C	SPO11	meiotic recombination initiation complex
YHR157W	REC104	meiotic recombination initiation complex
YLR329W	REC102	meiotic recombination initiation complex
YIR017C	MET28	Met4p/Met28p/Met31p complex
YNL103W	MET4	Met4p/Met28p/Met31p complex
YPL038W	MET31	Met4p/Met28p/Met31p complex
YDR253C	MET32	Met4p/Met28p/Met32p complex
YIR017C	MET28	Met4p/Met28p/Met32p complex
YNL103W	MET4	Met4p/Met28p/Met32p complex
YGL105W	ARC1	methionyl glutamyl tRNA synthetase complex
YGL245W	GUS1	methionyl glutamyl tRNA synthetase complex
YGR264C	MES1	methionyl glutamyl tRNA synthetase complex
YBR179C	FZO1	Mgm1p/Ugo1p/Fzo1p complex
YDR470C	UGO1	Mgm1p/Ugo1p/Fzo1p complex
YOR211C	MGM1	Mgm1p/Ugo1p/Fzo1p complex
YAL034W-A	MTW1	MIND complex
YIR010W	DSN1	MIND complex
YJR112W	NNF1	MIND complex
YPL233W	NSL1	MIND complex
YDL130W-A	STF1	mitochondrial ATPase inhibitor complex
YDL181W	INH1	mitochondrial ATPase inhibitor complex
YGR008C	STF2	mitochondrial ATPase inhibitor complex
YEL059C-A	SOM1	mitochondrial inner membrane peptidase complex
YMR035W	IMP2	mitochondrial inner membrane peptidase complex
YMR150C	IMP1	mitochondrial inner membrane peptidase complex
YGR033C	TIM21	mitochondrial inner membrane presequence translocase complex
YJL104W	PAM16	mitochondrial inner membrane presequence translocase complex
YJL143W	TIM17	mitochondrial inner membrane presequence translocase complex
YLR008C	PAM18	mitochondrial inner membrane presequence translocase complex
YNR017W	TIM23	mitochondrial inner membrane presequence translocase complex
YPL063W	TIM50	mitochondrial inner membrane presequence translocase complex
YBR091C	MRS5	mitochondrial inner membrane protein insertion complex
YDL217C	TIM22	mitochondrial inner membrane protein insertion complex
YJL054W	TIM54	mitochondrial inner membrane protein insertion complex
YOR297C	TIM18	mitochondrial inner membrane protein insertion complex
YEL020W-A	TIM9	mitochondrial intermembrane space protein transporter complex
YHR005C-A	MRS11	mitochondrial intermembrane space protein transporter complex
YGR082W	TOM20	mitochondrial outer membrane translocase complex
YMR203W	TOM40	mitochondrial outer membrane translocase complex
YNL070W	TOM7	mitochondrial outer membrane translocase complex
YNL121C	TOM70	mitochondrial outer membrane translocase complex
YNL131W	TOM22	mitochondrial outer membrane translocase complex
YOR045W	TOM6	mitochondrial outer membrane translocase complex
YPR133W-A	TOM5	mitochondrial outer membrane translocase complex
YDR148C	KGD2	mitochondrial oxoglutarate dehydrogenase complex
YFL018C	LPD1	mitochondrial oxoglutarate dehydrogenase complex
YIL125W	KGD1	mitochondrial oxoglutarate dehydrogenase complex
YHR024C	MAS2	mitochondrial processing peptidase complex
YLR163C	MAS1	mitochondrial processing peptidase complex
YBR221C	PDB1	mitochondrial pyruvate dehydrogenase complex
YER178W	PDA1	mitochondrial pyruvate dehydrogenase complex
YFL018C	LPD1	mitochondrial pyruvate dehydrogenase complex
YGR193C	PDX1	mitochondrial pyruvate dehydrogenase complex
YIL042C	PKP1	mitochondrial pyruvate dehydrogenase complex
YNL071W	LAT1	mitochondrial pyruvate dehydrogenase complex
YOR090C	PTC5	mitochondrial pyruvate dehydrogenase complex
YBL038W	MRPL16	mitochondrial ribosomal large subunit
YBR122C	MRPL36	mitochondrial ribosomal large subunit
YBR268W	MRPL37	mitochondrial ribosomal large subunit
YBR282W	MRPL27	mitochondrial ribosomal large subunit
YCR003W	MRPL32	mitochondrial ribosomal large subunit
YCR046C	IMG1	mitochondrial ribosomal large subunit
YCR071C	IMG2	mitochondrial ribosomal large subunit
YDL202W	MRPL11	mitochondrial ribosomal large subunit
YDR115W	YDR115W	mitochondrial ribosomal large subunit
YDR116C	MRPL1	mitochondrial ribosomal large subunit
YDR237W	MRPL7	mitochondrial ribosomal large subunit
YDR322W	MRPL35	mitochondrial ribosomal large subunit
YDR405W	MRP20	mitochondrial ribosomal large subunit
YDR462W	MRPL28	mitochondrial ribosomal large subunit
YEL050C	RML2	mitochondrial ribosomal large subunit
YGL068W	MNP1	mitochondrial ribosomal large subunit
YGR076C	MRPL25	mitochondrial ribosomal large subunit
YGR220C	MRPL9	mitochondrial ribosomal large subunit
YHR147C	MRPL6	mitochondrial ribosomal large subunit
YJL063C	MRPL8	mitochondrial ribosomal large subunit
YJL096W	MRPL49	mitochondrial ribosomal large subunit
YKL138C	MRPL31	mitochondrial ribosomal large subunit
YKL167C	MRP49	mitochondrial ribosomal large subunit
YKL170W	MRPL38	mitochondrial ribosomal large subunit
YKR006C	MRPL13	mitochondrial ribosomal large subunit
YKR085C	MRPL20	mitochondrial ribosomal large subunit
YLR312W-A	MRPL15	mitochondrial ribosomal large subunit
YLR439W	MRPL4	mitochondrial ribosomal large subunit
YML009C	MRPL39	mitochondrial ribosomal large subunit
YML025C	YML6	mitochondrial ribosomal large subunit
YMR024W	MRPL3	mitochondrial ribosomal large subunit
YMR193W	MRPL24	mitochondrial ribosomal large subunit
YMR225C	MRPL44	mitochondrial ribosomal large subunit
YMR286W	MRPL33	mitochondrial ribosomal large subunit
YNL005C	MRP7	mitochondrial ribosomal large subunit
YNL177C	MRPL22	mitochondrial ribosomal large subunit
YNL185C	MRPL19	mitochondrial ribosomal large subunit
YNL252C	MRPL17	mitochondrial ribosomal large subunit
YNL284C	MRPL10	mitochondrial ribosomal large subunit
YNR022C	MRPL50	mitochondrial ribosomal large subunit
YOR150W	MRPL23	mitochondrial ribosomal large subunit
YPL173W	MRPL40	mitochondrial ribosomal large subunit
YPL183W-A	YPL183W-A	mitochondrial ribosomal large subunit
YPR100W	MRPL51	mitochondrial ribosomal large subunit
Q0140	VAR1	mitochondrial ribosomal small subunit
YBL090W	MRP21	mitochondrial ribosomal small subunit
YBR146W	MRPS9	mitochondrial ribosomal small subunit
YBR251W	MRPS5	mitochondrial ribosomal small subunit
YDL045W-A	MRP10	mitochondrial ribosomal small subunit
YDR041W	RSM10	mitochondrial ribosomal small subunit
YDR175C	RSM24	mitochondrial ribosomal small subunit
YDR337W	MRPS28	mitochondrial ribosomal small subunit
YDR347W	MRP1	mitochondrial ribosomal small subunit
YER050C	RSM18	mitochondrial ribosomal small subunit
YFR049W	YMR31	mitochondrial ribosomal small subunit
YGL129C	RSM23	mitochondrial ribosomal small subunit
YGR084C	MRP13	mitochondrial ribosomal small subunit
YGR165W	MRPS35	mitochondrial ribosomal small subunit
YGR215W	RSM27	mitochondrial ribosomal small subunit
YHL004W	MRP4	mitochondrial ribosomal small subunit
YHR075C	PPE1	mitochondrial ribosomal small subunit
YIL093C	RSM25	mitochondrial ribosomal small subunit
YJR101W	RSM26	mitochondrial ribosomal small subunit
YJR113C	RSM7	mitochondrial ribosomal small subunit
YKL003C	MRP17	mitochondrial ribosomal small subunit
YKL155C	RSM22	mitochondrial ribosomal small subunit
YMR158W	MRPS8	mitochondrial ribosomal small subunit
YMR188C	MRPS17	mitochondrial ribosomal small subunit
YNL081C	SWS2	mitochondrial ribosomal small subunit
YNL137C	NAM9	mitochondrial ribosomal small subunit
YNL306W	MRPS18	mitochondrial ribosomal small subunit
YNR037C	RSM19	mitochondrial ribosomal small subunit
YOR158W	PET123	mitochondrial ribosomal small subunit
YPL013C	MRPS16	mitochondrial ribosomal small subunit
YPL118W	MRP51	mitochondrial ribosomal small subunit
YPR166C	MRP2	mitochondrial ribosomal small subunit
YAL010C	MDM10	mitochondrial sorting and assembly machinery complex
YHR083W	SAM35	mitochondrial sorting and assembly machinery complex
YMR060C	SAM37	mitochondrial sorting and assembly machinery complex
YNL026W	SAM50	mitochondrial sorting and assembly machinery complex
YGL116W	CDC20	mitotic checkpoint complex
YJL013C	MAD3	mitotic checkpoint complex
YJL030W	MAD2	mitotic checkpoint complex
YOR026W	BUB3	mitotic checkpoint complex
YGL252C	RTG2	Mks1p/Rtg2p complex
YNL076W	MKS1	Mks1p/Rtg2p complex
YLR035C	MLH2	Mlh1p/Mlh2p complex
YMR167W	MLH1	Mlh1p/Mlh2p complex
YMR167W	MLH1	Mlh1p/Mlh3p complex
YPL164C	MLH3	Mlh1p/Mlh3p complex
YMR167W	MLH1	Mlh1p/Pms1p complex
YNL082W	PMS1	Mlh1p/Pms1p complex
YGR092W	DBF2	Mob1p/Dbf2p complex
YIL106W	MOB1	Mob1p/Dbf2p complex
YFL034C-B	MOB2	Mob2p/Cbk1p complex
YNL161W	CBK1	Mob2p/Cbk1p complex
YBR131W	CCZ1	Mon1p/Ccz1p complex
YGL124C	MON1	Mon1p/Ccz1p complex
YCR086W	CSM1	monopolin complex
YDR439W	LRS4	monopolin complex
YER106W	MAM1	monopolin complex
YPL204W	HRR25	monopolin complex
YER148W	SPT15	Mot1p complex
YPL082C	MOT1	Mot1p complex
YGL075C	MPS2	Mps2p/Bbp1p complex
YLR457C	NBP1	Mps2p/Bbp1p complex
YPL255W	BBP1	Mps2p/Bbp1p complex
YAL043C	PTA1	mRNA cleavage and polyadenylation specificity factor complex
YDR195W	REF2	mRNA cleavage and polyadenylation specificity factor complex
YDR301W	CFT1	mRNA cleavage and polyadenylation specificity factor complex
YER133W	GLC7	mRNA cleavage and polyadenylation specificity factor complex
YGR156W	PTI1	mRNA cleavage and polyadenylation specificity factor complex
YJR093C	FIP1	mRNA cleavage and polyadenylation specificity factor complex
YKL018W	SWD2	mRNA cleavage and polyadenylation specificity factor complex
YKL059C	MPE1	mRNA cleavage and polyadenylation specificity factor complex
YKR002W	PAP1	mRNA cleavage and polyadenylation specificity factor complex
YLR115W	CFT2	mRNA cleavage and polyadenylation specificity factor complex
YLR277C	YSH1	mRNA cleavage and polyadenylation specificity factor complex
YNL222W	SSU72	mRNA cleavage and polyadenylation specificity factor complex
YNL317W	PFS2	mRNA cleavage and polyadenylation specificity factor complex
YOR179C	SYC1	mRNA cleavage and polyadenylation specificity factor complex
YPR107C	YTH1	mRNA cleavage and polyadenylation specificity factor complex
YDR228C	PCF11	mRNA cleavage factor complex (CFI)
YGL044C	RNA15	mRNA cleavage factor complex (CFI)
YMR061W	RNA14	mRNA cleavage factor complex (CFI)
YOL123W	HRP1	mRNA cleavage factor complex (CFI)
YOR250C	CLP1	mRNA cleavage factor complex (CFI)
YGL130W	CEG1	mRNA guanylyl transferase (capping complex)
YPL228W	CET1	mRNA guanylyl transferase (capping complex)
YDR369C	XRS2	MRX complex
YMR224C	MRE11	MRX complex
YNL250W	RAD50	MRX complex
YCR092C	MSH3	MSH2p/MSH3p complex
YOL090W	MSH2	MSH2p/MSH3p complex
YDR097C	MSH6	MSH2p/MSH6p complex
YOL090W	MSH2	MSH2p/MSH6p complex
YAR033W	MST28	Mst27p/Mst28p complex
YGL051W	MST27	Mst27p/Mst28p complex
YGR178C	PBP1	Mtk1p/Pbp1p complex
YNL085W	MKT1	Mtk1p/Pbp1p complex
YGL236C	MTO1	Mto1p/Mss1p complex
YMR023C	MSS1	Mto1p/Mss1p complex
YKL186C	MTR2	Mtr2p/Mex67p complex
YPL169C	MEX67	Mtr2p/Mex67p complex
YER025W	GCD11	multi-eIF complex
YJR007W	SUI2	multi-eIF complex
YMR146C	TIF34	multi-eIF complex
YMR309C	NIP1	multi-eIF complex
YNL244C	SUI1	multi-eIF complex
YOR361C	PRT1	multi-eIF complex
YPL237W	SUI3	multi-eIF complex
YPR041W	TIF5	multi-eIF complex
YDR252W	BTT1	nascent polypeptide-associated complex
YHR193C	EGD2	nascent polypeptide-associated complex
YPL037C	EGD1	nascent polypeptide-associated complex
YDL040C	NAT1	NatA complex
YHR013C	ARD1	NatA complex
YOR253W	NAT5	NatA complex
YOL076W	MDM20	NatB complex
YPR131C	NAT3	NatB complex
YCR020C-A	MAK31	NatC complex
YEL053C	MAK10	NatC complex
YPR051W	MAK3	NatC complex
YDR397C	NCB2	NC2 complex
YER159C	BUR6	NC2 complex
YER018C	SPC25	Ndc80p complex
YIL144W	TID3	Ndc80p complex
YMR117C	SPC24	Ndc80p complex
YOL069W	NUF2	Ndc80p complex
YAL009W	SPO7	Nem1p/Spo7p complex
YHR004C	NEM1	Nem1p/Spo7p complex
YCL017C	NFS1	Nfs1p/Isd11p complex
YER048W-A	ISD11	Nfs1p/Isd11p complex
YDR060W	MAK21	Noc1p/Noc2p complex
YOR206W	NOC2	Noc1p/Noc2p complex
YLR002C	NOC3	Noc2p/Noc3p complex
YOR206W	NOC2	Noc2p/Noc3p complex
YDL148C	NOP14	Noc4p/Nop14p complex
YPR144C	NOC4	Noc4p/Nop14p complex
YGR072W	UPF3	Nonsense-mediated mRNA decay pathway complex
YHR077C	NMD2	Nonsense-mediated mRNA decay pathway complex
YMR080C	NAM7	Nonsense-mediated mRNA decay pathway complex
YJR041C	URB2	Npa2p-containing subcomplex
YKL014C	URB1	Npa2p-containing subcomplex
YLR221C	RSA3	Npa2p-containing subcomplex
YNR038W	DBP6	Npa2p-containing subcomplex
YOL144W	NOP8	Npa2p-containing subcomplex
YFR002W	NIC96	Nsp1p complex
YGL172W	NUP49	Nsp1p complex
YGR119C	NUP57	Nsp1p complex
YJL041W	NSP1	Nsp1p complex
YJL041W	NSP1	Nsp1p/Nup82p complex
YJL061W	NUP82	Nsp1p/Nup82p complex
YGL120C	PRP43	Ntr1p/Ntr2p/Prp43p complex
YKR022C	NTR2	Ntr1p/Ntr2p/Prp43p complex
